observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,deviceSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,freqLow,freqHigh,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
86896MD01_016K_M04_multi_20180712_130000Z.aif_2887,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_130000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.544305,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_131500Z.aif_3031,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_131500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.523122,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_131500Z.aif_3046,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_131500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.503038,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_131500Z.aif_3078,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_131500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.51939,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_134500Z.aif_3196,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_134500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.596697,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_134500Z.aif_3215,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_134500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.50997,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_140000Z.aif_3309,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_140000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.533459,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_141500Z.aif_3474,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_141500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.510262,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_143000Z.aif_3521,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_143000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.558475,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_143000Z.aif_3529,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_143000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.597,1-4-f,parm file = FW2O_p25.mat
