observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,deviceSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,freqLow,freqHigh,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
86896MD01_016K_M04_multi_20180713_210000Z.aif_5030,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_210000Z.aif,,204870.475975,204876.292025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.781830,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180713_210000Z.aif_5054,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_210000Z.aif,,204968.515975,204974.332025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.507322,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180713_231500Z.aif_5108,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_231500Z.aif,,213152.723975,213158.540025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.514849,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_110000Z.aif_5239,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_110000Z.aif,,255458.611971,255464.428021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.576861,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_121500Z.aif_5258,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_121500Z.aif,,259895.243149,259899.300859,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.500236,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_171500Z.aif_5392,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_171500Z.aif,,278027.579145,278031.636855,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.533543,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_011500Z.aif_5531,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_011500Z.aif,,306229.515971,306235.332021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.560843,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_011500Z.aif_5542,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_011500Z.aif,,306612.195971,306618.012021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.547822,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_071500Z.aif_5622,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_071500Z.aif,,328038.395971,328044.212021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.550510,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_124500Z.aif_5738,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_124500Z.aif,,347928.491975,347934.308025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.517887,1-4-f,parm file = FW2O_p25.mat
