observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,deviceSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,frequencyLow,frequencyHigh,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,classificationConfirmation,observationTags,observationComments
86896MD01_016K_M04_multi_20180713_204500Z_4928,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_204500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.50765,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180713_210000Z_5042,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_210000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.581924,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180713_210000Z_5068,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_210000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.510776,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_071500Z_5167,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_071500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.537477,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_121500Z_5253,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_121500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.534206,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_123000Z_5260,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_123000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.510903,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_143000Z_5298,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_143000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.538263,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_171500Z_5383,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_171500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.606213,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_171500Z_5386,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_171500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.55005,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_194500Z_5472,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_194500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.502372,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_001500Z_5520,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_001500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.501828,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_081500Z_5661,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_081500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.541521,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_083000Z_5669,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_083000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.509209,,,parm file = FW2O_p25.mat
