observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,deviceSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,frequencyLow,frequencyHigh,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,classificationConfirmation,observationTags,observationComments
86896MD01_016K_M04_multi_20180712_121500Z.aif_2627,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_121500Z.aif,,87156.984263,87161.447743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.516347,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_123000Z.aif_2707,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_123000Z.aif,,87804.803142,87808.860852,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.505014,,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_124500Z.aif_2833,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_124500Z.aif,,88715.608260,88720.071740,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.549683,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_124500Z.aif_2867,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_124500Z.aif,,88974.648260,88979.111740,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.527734,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_131500Z.aif_3016,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_131500Z.aif,,90320.808256,90325.271736,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.574395,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_140000Z.aif_3320,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_140000Z.aif,,92939.920256,92944.383736,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.557880,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_140000Z.aif_3379,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_140000Z.aif,,93502.755142,93506.812852,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.520679,,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_144500Z.aif_3591,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_144500Z.aif,,95460.232256,95464.695736,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.520137,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_153000Z.aif_3966,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_153000Z.aif,,98421.411971,98427.228021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.515011,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_154500Z.aif_4146,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_154500Z.aif,,99865.264260,99869.727740,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.613824,,1-1-f,parm file = FW2O_p25.mat
